query_uniprot,query_gene,query_complex,bait_uniprot,bait_gene,prey_uniprot,prey_gene,confidence,ipsae,ipsae_confidence,iptm,interface_plddt,contacts_pae_lt_3,contacts_pae_lt_6,analysis_version,alphafold_version,validated,experimental_validation,bait_complex,bait_organism,extraction_timestamp,id,ipsae_pae_cutoff,prey_organism,source_path
Q8NEZ3,IFT144,IFT-A,Q8NEZ3,WDR19,Q9BXC9,BBS2,Low,,,0.41,79.9,0,8,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:05.634420,7,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q8NEZ3_IFT144/AF3
Q8NEZ3,IFT144,IFT-A,Q8NEZ3,WDR19,O60828,PQBP1,Low,,,0.37,80,0,15,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:05.634425,5,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q8NEZ3_IFT144/AF3
Q8NEZ3,IFT144,IFT-A,Q8NEZ3,WDR19,Q16665,HIF1A,Low,,,0.37,76.2,0,20,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:05.634430,9,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q8NEZ3_IFT144/AF3
Q8NEZ3,IFT144,IFT-A,Q8NEZ3,WDR19,Q5VTT2,CFAP95,Low,,,0.35,75.3,0,17,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:05.634434,10,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q8NEZ3_IFT144/AF3
Q8NEZ3,IFT144,IFT-A,Q9NVL8,CCDC198,Q8NEZ3,WDR19,Low,,,0.31,74.70725,,6,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:05.634439,8970,10,Homo sapiens,/emcc/au14762/AF/Lotte_Pedersen/Q9NVL8_CCDC198/AF3/AF3_PD_analysis_v3.json
Q8NEZ3,IFT144,IFT-A,Q8NEZ3,WDR19,Q96G28,CFAP36,Low,,,0.31,77.8,0,24,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:05.634443,8,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q8NEZ3_IFT144/AF3
Q8NEZ3,IFT144,IFT-A,AF2_Q8IWZ6,Q8IWZ6,AF2_Q8NEZ3,Q8NEZ3,,,,0.855,,0,0,v3,AF2,False,,IFT-A,Unknown,2025-10-31T13:15:05.634448,8574,10,Unknown,/emcc/au14762/AF
Q96RY7,IFT140,IFT-A,Q8NEZ3,WDR19,Q96RY7,IFT140,High,0.6181056338616743,Medium,0.54,84.45236641221373,68,69,v4,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:07.268189,10413,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q8NEZ3_IFT144/AF3/AF3_PD_analysis_v4.json
Q96RY7,IFT140,IFT-A,Q96RY7,IFT140,Q8NEZ3,WDR19,High,0.6170063272194763,Medium,0.54,85.46901856763925,68,69,v4,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:07.268218,10612,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q96RY7_IFT140/AF3/AF3_PD_analysis_v4.json
Q96RY7,IFT140,IFT-A,Q96RY7,IFT140,P62258,YWHAE,Medium,,,0.65,79.6,0,4,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:07.268250,838,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q96RY7_IFT140/AF3
Q96RY7,IFT140,IFT-A,Q96RY7,IFT140,O60928,KCNJ13,Medium,,,0.63,80.3,0,15,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:07.268262,837,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q96RY7_IFT140/AF3
Q96RY7,IFT140,IFT-A,Q96RY7,IFT140,Q9HBG6,IFT122,Low,0.5381652517165127,Medium,0.44,79.38855203619909,11,58,v4,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:07.268273,10613,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q96RY7_IFT140/AF3/AF3_PD_analysis_v4.json
Q96RY7,IFT140,IFT-A,Q9HBG6,IFT122,Q96RY7,IFT140,Low,0.5254043302145674,Medium,0.44,79.32065022421526,4,56,v4,AF3,True,"{""date"": ""2025-10-30"", ""notes"": ""IFT-A complex validation - skeletal ciliopathy project"", ""method"": ""PD_MS"", ""source"": ""Tina/Carsten"", ""validated"": true, ""source_file"": ""/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/MS_PD_data_Tina_Carsten_IFT43_121_122.xlsx""}",IFT-A,Homo sapiens,2025-10-31T13:15:07.268284,10699,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q9HBG6_IFT122/AF3/AF3_PD_analysis_v4.json
Q96RY7,IFT140,IFT-A,Q96RY7,IFT140,Q13017,ARHGAP5,Low,,,0.39,77.8,3,18,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:07.268296,841,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q96RY7_IFT140/AF3
Q96RY7,IFT140,IFT-A,Q96RY7,IFT140,O94854,MACF1,Low,0.3142189820610859,Low,0.34,76.73427027027027,3,33,v4,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:07.268306,10615,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q96RY7_IFT140/AF3/AF3_PD_analysis_v4.json
Q96RY7,IFT140,IFT-A,Q96RY7,IFT140,P11021,HSPA5,Low,,,0.48,83.8,0,7,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:07.268317,844,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q96RY7_IFT140/AF3
Q96RY7,IFT140,IFT-A,Q96RY7,IFT140,Q99835,SMO,Low,,,0.47,74.1,0,13,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:07.268328,851,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q96RY7_IFT140/AF3
Q96RY7,IFT140,IFT-A,Q96RY7,IFT140,P13639,EEF2,Low,,,0.41,77.3,0,13,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:07.268338,849,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q96RY7_IFT140/AF3
Q96RY7,IFT140,IFT-A,Q9NWB7,IFT57,Q96RY7,IFT140,Low,0.30780672260494574,Low,0.4,78.74860082304528,0,25,v4,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:07.268348,10728,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q9NWB7_IFT57/AF3/AF3_PD_analysis_v4.json
Q96RY7,IFT140,IFT-A,Q96RY7,IFT140,Q9NWB7,IFT57,Low,,,0.4,78.5,0,40,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:07.268358,848,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q96RY7_IFT140/AF3
Q96RY7,IFT140,IFT-A,Q96RY7,IFT140,Q7Z3B4,NUP54,Low,,,0.39,84,0,5,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:07.268369,843,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q96RY7_IFT140/AF3
Q96RY7,IFT140,IFT-A,Q96RY7,IFT140,Q96MC2,DRC1,Low,,,0.38,82.6,0,16,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:07.268379,845,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q96RY7_IFT140/AF3
Q96RY7,IFT140,IFT-A,Q96RY7,IFT140,Q9H1P6,CIMIP1,Low,,,0.37,82,0,7,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:07.268389,846,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q96RY7_IFT140/AF3
Q96RY7,IFT140,IFT-A,Q96RY7,IFT140,Q99680,GPR22,Low,,,0.37,70.8,0,7,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:07.268399,853,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q96RY7_IFT140/AF3
Q96RY7,IFT140,IFT-A,Q96RY7,IFT140,Q9UNZ2,NSFL1C,Low,0.3374556805499269,Low,0.36,79.43867924528301,0,48,v4,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:07.268410,10614,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q96RY7_IFT140/AF3/AF3_PD_analysis_v4.json
Q96RY7,IFT140,IFT-A,Q96RY7,IFT140,Q8TC29,ENKUR,Low,,,0.36,73.5,0,5,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:07.268420,852,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q96RY7_IFT140/AF3
Q96RY7,IFT140,IFT-A,Q96RY7,IFT140,A4D263,SPMIP7,Low,,,0.35,76.5,0,36,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:07.268430,850,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q96RY7_IFT140/AF3
Q7Z4L5,IFT139,IFT-A,Q7Z4L5,TTC21B,P11142,HSPA8,Medium,0.3614210322795222,Low,0.63,83.22038461538462,0,17,v4,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:08.922862,10271,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q7Z4L5_IFT139/AF3/AF3_PD_analysis_v4.json
Q7Z4L5,IFT139,IFT-A,Q7Z4L5,TTC21B,P0DMV8,HSPA1A,Medium,,,0.61,83.6,0,3,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:08.922892,1156,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q7Z4L5_IFT139/AF3
Q7Z4L5,IFT139,IFT-A,Q7Z4L5,TTC21B,Q96FT9,IFT43,Low,0.46276861351769927,Low,0.39,79.32778656126483,5,80,v4,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:08.922905,10268,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q7Z4L5_IFT139/AF3/AF3_PD_analysis_v4.json
Q7Z4L5,IFT139,IFT-A,Q96FT9,IFT43,Q7Z4L5,TTC21B,Low,0.45264912450621897,Low,0.4,80.91618320610687,4,63,v4,AF3,True,"{""date"": ""2025-10-30"", ""notes"": ""IFT-A complex validation - skeletal ciliopathy project"", ""method"": ""PD_MS"", ""source"": ""Tina/Carsten"", ""validated"": true, ""source_file"": ""/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/MS_PD_data_Tina_Carsten_IFT43_121_122.xlsx""}",IFT-A,Homo sapiens,2025-10-31T13:15:08.922916,10480,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q96FT9_IFT43/AF3/AF3_PD_analysis_v4.json
Q7Z4L5,IFT139,IFT-A,Q96FT9,IFT43,Q7Z4L5,TTC21B,Low,0.45232167189699235,Low,0.39,81.11895674300254,4,62,v4,AF3,True,"{""date"": ""2025-10-30"", ""notes"": ""IFT-A complex validation - skeletal ciliopathy project"", ""method"": ""PD_MS"", ""source"": ""Tina/Carsten"", ""validated"": true, ""source_file"": ""/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/MS_PD_data_Tina_Carsten_IFT43_121_122.xlsx""}",IFT-A,Homo sapiens,2025-10-31T13:15:08.922928,10099,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/NEW_643Candidates/Q96FT9_IFT43/AF3/AF3_PD_analysis_v4.json
Q7Z4L5,IFT139,IFT-A,Q9HBG6,IFT122,Q7Z4L5,TTC21B,Low,0.5564505510440019,Medium,0.46,82.96632075471699,3,22,v4,AF3,True,"{""date"": ""2025-10-30"", ""notes"": ""IFT-A complex validation - skeletal ciliopathy project"", ""method"": ""PD_MS"", ""source"": ""Tina/Carsten"", ""validated"": true, ""source_file"": ""/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/MS_PD_data_Tina_Carsten_IFT43_121_122.xlsx""}",IFT-A,Homo sapiens,2025-10-31T13:15:08.922939,10697,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q9HBG6_IFT122/AF3/AF3_PD_analysis_v4.json
Q7Z4L5,IFT139,IFT-A,Q7Z4L5,TTC21B,Q9HBG6,IFT122,Low,0.5571811513208603,Medium,0.47,84.0444387755102,2,19,v4,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:08.922949,10267,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q7Z4L5_IFT139/AF3/AF3_PD_analysis_v4.json
Q7Z4L5,IFT139,IFT-A,Q7Z4L5,TTC21B,P26038,MSN,Low,0.39376528432707086,Low,0.56,84.5955614973262,0,23,v4,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:08.922959,10269,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q7Z4L5_IFT139/AF3/AF3_PD_analysis_v4.json
Q7Z4L5,IFT139,IFT-A,Q7Z4L5,TTC21B,Q5VZE5,NAA35,Low,,,0.56,81.2,0,7,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:08.922970,1164,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q7Z4L5_IFT139/AF3
Q7Z4L5,IFT139,IFT-A,Q7Z4L5,TTC21B,P15311,EZR,Low,0.3631521120942505,Low,0.52,84.18105263157896,0,14,v4,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:08.922980,10270,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q7Z4L5_IFT139/AF3/AF3_PD_analysis_v4.json
Q7Z4L5,IFT139,IFT-A,Q7Z4L5,TTC21B,P23396,RPS3,Low,,,0.5,82.2,0,4,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:08.922990,1163,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q7Z4L5_IFT139/AF3
Q7Z4L5,IFT139,IFT-A,Q7Z4L5,TTC21B,O60610,DIAPH1,Low,,,0.48,84.3,0,3,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:08.923001,1161,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q7Z4L5_IFT139/AF3
Q7Z4L5,IFT139,IFT-A,Q7Z4L5,TTC21B,P45974,USP5,Low,,,0.47,78.8,0,16,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:08.923010,1165,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q7Z4L5_IFT139/AF3
Q7Z4L5,IFT139,IFT-A,Q7Z4L5,TTC21B,Q6ZQQ2,SPATA31D1,Low,,,0.46,72.8,0,8,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:08.923020,1172,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q7Z4L5_IFT139/AF3
Q7Z4L5,IFT139,IFT-A,Q7Z4L5,TTC21B,Q13402,MYO7A,Low,,,0.46,77.1,0,4,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:08.923030,1167,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q7Z4L5_IFT139/AF3
Q7Z4L5,IFT139,IFT-A,Q7Z4L5,TTC21B,Q8TEP8,CEP192,Low,,,0.44,74.8,0,12,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:08.923040,1171,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q7Z4L5_IFT139/AF3
Q7Z4L5,IFT139,IFT-A,Q9P2L0,WDR35,Q7Z4L5,TTC21B,Low,,,0.42,77.1,0,12,v3,AF3,True,"{""date"": ""2025-10-30"", ""notes"": ""IFT-A complex validation - skeletal ciliopathy project"", ""method"": ""PD_MS"", ""source"": ""Tina/Carsten"", ""validated"": true, ""source_file"": ""/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/MS_PD_data_Tina_Carsten_IFT43_121_122.xlsx""}",IFT-A,Homo sapiens,2025-10-31T13:15:08.923051,326,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q9P2L0_IFT121/AF3
Q7Z4L5,IFT139,IFT-A,Q7Z4L5,TTC21B,Q9P2L0,WDR35,Low,,,0.42,76.3,0,11,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:08.923061,1169,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q7Z4L5_IFT139/AF3
Q7Z4L5,IFT139,IFT-A,Q7Z4L5,TTC21B,P78318,IGBP1,Low,,,0.39,75.3,0,6,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:08.923071,1170,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q7Z4L5_IFT139/AF3
Q7Z4L5,IFT139,IFT-A,Q7Z4L5,TTC21B,Q13017,ARHGAP5,Low,,,0.39,77.9,0,6,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:08.923081,1166,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q7Z4L5_IFT139/AF3
Q7Z4L5,IFT139,IFT-A,Q7Z4L5,TTC21B,Q07955,SRSF1,Low,,,0.38,77.1,0,5,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:08.923091,1168,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q7Z4L5_IFT139/AF3
Q7Z4L5,IFT139,IFT-A,Q9NWB7,IFT57,Q7Z4L5,TTC21B,Low,,,0.38,78.7,0,5,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:08.923101,119,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q9NWB7_IFT57/AF3
Q7Z4L5,IFT139,IFT-A,Q7Z4L5,TTC21B,O00294,TULP1,Low,0.3254748141367954,Low,0.37,0,0,1,v4,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:08.923111,10272,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q7Z4L5_IFT139/AF3/AF3_PD_analysis_v4.json
Q9HBG6,IFT122,IFT-A,Q9HBG6,IFT122,Q8NEZ3,WDR19,High,0.687672089146728,Medium,0.55,82.03608579088471,47,57,v4,AF3,True,"{""date"": ""2025-10-30"", ""notes"": ""IFT-A complex validation - skeletal ciliopathy project"", ""method"": ""PD_MS"", ""source"": ""Tina/Carsten"", ""validated"": true, ""source_file"": ""/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/MS_PD_data_Tina_Carsten_IFT43_121_122.xlsx""}",IFT-A,Homo sapiens,2025-10-31T13:15:10.529210,10695,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q9HBG6_IFT122/AF3/AF3_PD_analysis_v4.json
Q9HBG6,IFT122,IFT-A,Q8NEZ3,WDR19,Q9HBG6,IFT122,High,0.6836467739275692,Medium,0.55,81.70174479166666,30,56,v4,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:10.529267,10411,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q8NEZ3_IFT144/AF3/AF3_PD_analysis_v4.json
Q9HBG6,IFT122,IFT-A,Q9HBG6,IFT122,Q9P2L0,WDR35,High,0.6582768961084079,Medium,0.71,79.16701434159062,24,112,v4,AF3,True,"{""date"": ""2025-10-30"", ""notes"": ""IFT-A complex validation - skeletal ciliopathy project"", ""method"": ""PD_MS"", ""source"": ""Tina/Carsten"", ""validated"": true, ""source_file"": ""/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/MS_PD_data_Tina_Carsten_IFT43_121_122.xlsx""}",IFT-A,Homo sapiens,2025-10-31T13:15:10.529288,10696,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q9HBG6_IFT122/AF3/AF3_PD_analysis_v4.json
Q9HBG6,IFT122,IFT-A,Q9P2L0,WDR35,Q9HBG6,IFT122,High,0.6455525775275816,Medium,0.71,78.9984268125855,21,104,v4,AF3,True,"{""date"": ""2025-10-30"", ""notes"": ""IFT-A complex validation - skeletal ciliopathy project"", ""method"": ""PD_MS"", ""source"": ""Tina/Carsten"", ""validated"": true, ""source_file"": ""/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/MS_PD_data_Tina_Carsten_IFT43_121_122.xlsx""}",IFT-A,Homo sapiens,2025-10-31T13:15:10.529300,10742,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q9P2L0_IFT121/AF3/AF3_PD_analysis_v4.json
Q9HBG6,IFT122,IFT-A,Q9HBG6,IFT122,P34949,MPI,High,0.4641600540868345,Low,0.75,85.70630331753556,0,33,v4,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:10.529311,10703,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q9HBG6_IFT122/AF3/AF3_PD_analysis_v4.json
Q9HBG6,IFT122,IFT-A,Q9HBG6,IFT122,Q9UNT1,RABL2B,Medium,0.4767371392893843,Low,0.7,85.00449315068494,2,55,v4,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:10.529322,10700,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q9HBG6_IFT122/AF3/AF3_PD_analysis_v4.json
Q9HBG6,IFT122,IFT-A,Q9HBG6,IFT122,Q9UBK7,RABL2A,Medium,0.4689785775970756,Low,0.69,85.20799418604652,1,49,v4,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:10.529333,10701,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q9HBG6_IFT122/AF3/AF3_PD_analysis_v4.json
